Id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1,Souillac,-20.52,57.52,82.4,65,40,17.22,MU,1609391623
2,Busselton,-33.65,115.33,91.0,36,0,5.01,AU,1609391627
3,Butaritari,3.07,172.79,81.64,78,52,19.86,KI,1609391632
4,Port Alfred,-33.59,26.89,69.01,92,91,3.0,ZA,1609391636
5,Rikitea,-23.12,-134.97,77.81,77,1,12.88,PF,1609391601
6,Bethel,41.37,-73.41,39.2,60,90,12.75,US,1609391080
7,Katsuura,35.13,140.3,45.0,28,20,6.93,JP,1609391648
8,Grindavik,63.84,-22.43,28.4,86,75,12.75,IS,1609391653
9,Carnarvon,-24.87,113.63,84.2,70,40,17.22,AU,1609391657
10,Iralaya,15.0,-83.23,76.75,87,91,10.09,HN,1609391661
11,New Norfolk,-42.78,147.06,64.99,77,91,5.28,AU,1609391533
12,Hong Kong,22.29,114.16,55.99,29,27,1.99,HK,1609391544
13,Arrondissement de Perpignan,42.75,2.75,39.99,64,0,8.05,FR,1609391424
14,San Quintín,30.48,-115.95,56.7,65,0,7.76,MX,1609391678
15,Punta Arenas,-53.15,-70.92,51.8,76,100,11.41,CL,1609391652
16,Mataura,-46.19,168.86,61.0,77,89,8.01,NZ,1609391453
17,São Filipe,14.9,-24.5,74.95,76,62,6.87,CV,1609391690
18,Banting,2.82,101.5,87.8,62,40,2.24,MY,1609391694
19,Chokurdakh,70.63,147.92,-27.04,86,72,9.15,RU,1609391699
20,Khatanga,71.97,102.5,-29.24,82,0,6.49,RU,1609391703
21,Ushuaia,-54.8,-68.3,51.8,66,75,5.82,AR,1609391347
22,Vaijāpur,19.92,74.73,75.45,45,41,13.38,IN,1609391711
23,Nyuksenitsa,60.41,44.24,17.74,97,100,6.06,RU,1609391715
24,Ferkessédougou,9.6,-5.2,67.37,23,0,2.98,CI,1609391720
25,Kampene,-3.6,26.67,69.31,97,100,1.21,CD,1609391724
26,Cockburn Town,21.46,-71.14,77.07,74,4,26.98,TC,1609391728
27,Hobart,-42.88,147.33,64.99,62,75,9.17,AU,1609391588
28,Kiruna,67.86,20.23,19.4,92,93,5.82,SE,1609391736
29,Waingapu,-9.66,120.26,86.83,54,66,4.07,ID,1609391740
30,Bredasdorp,-34.53,20.04,64.4,72,3,6.93,ZA,1609391645
31,Tuatapere,-46.13,167.68,61.0,77,94,8.01,NZ,1609391723
32,Clyde River,70.47,-68.59,-14.8,83,1,5.82,CA,1609391757
33,Poanas,25.77,-103.62,43.0,77,87,8.01,MX,1609391761
34,Newport,51.59,-3.0,30.0,95,55,5.44,GB,1609391468
35,Guerrero Negro,27.98,-114.06,57.24,40,0,13.73,MX,1609391770
36,Cape Town,-33.93,18.42,66.0,72,75,1.12,ZA,1609391544
37,Hermanus,-34.42,19.23,59.0,92,19,8.77,ZA,1609391778
38,Geraldton,-28.77,114.6,78.8,61,8,11.41,AU,1609391782
39,Sechura,-5.56,-80.82,70.88,75,58,11.72,PE,1609391761
40,Borovichi,58.39,33.92,32.2,97,100,11.27,RU,1609391795
41,Soledade,-28.82,-52.51,67.05,84,78,2.89,BR,1609391799
42,Port Macquarie,-31.43,152.92,71.6,94,75,3.36,AU,1609391803
43,Port Lincoln,-34.73,135.87,69.51,59,22,17.43,AU,1609391807
44,Viedma,-40.81,-63.0,55.35,55,59,5.53,AR,1609391812
45,Lubao,14.92,120.55,84.2,54,75,16.11,PH,1609391816
46,Broome,42.25,-75.83,37.0,59,90,11.41,US,1609391707
47,Mar del Plata,-38.0,-57.56,55.0,87,20,8.05,AR,1609391580
48,Ürümqi,43.8,87.6,5.0,60,0,2.24,CN,1609391832
49,Avera,33.19,-82.53,50.0,91,90,3.36,US,1609391824
50,Garmsār,35.22,52.34,42.37,62,0,1.68,IR,1609391841
51,Albany,42.6,-73.97,36.0,71,100,8.3,US,1609391404
52,Oleksandrivka,46.84,32.76,41.0,93,0,13.42,UA,1609391849
53,Santa Cruz de La Palma,28.68,-17.76,60.8,93,90,6.93,ES,1609391853
54,Avarua,-21.21,-159.78,82.4,74,98,6.93,CK,1609391858
55,Arkhangelsk,64.54,40.54,12.2,92,90,6.71,RU,1609391585
56,Qasigiannguit,68.82,-51.19,28.4,50,100,34.45,GL,1609391866
57,Atuona,-9.8,-139.03,78.57,75,8,17.56,PF,1609391601
58,Bluff,-46.6,168.33,61.0,77,97,8.01,NZ,1609391650
59,Methóni,36.82,21.7,59.0,87,40,6.93,GR,1609391878
60,Ulagan,50.63,87.96,8.91,85,100,1.83,RU,1609391883
61,Chui,-33.7,-53.46,60.66,84,62,10.22,UY,1609391887
62,Havre-St-Pierre,50.23,-63.6,6.8,77,90,6.93,CA,1609391652
63,Charters Towers,-20.1,146.27,84.79,64,100,8.68,AU,1609391895
64,Ponta do Sol,32.67,-17.1,59.0,72,75,10.29,PT,1609391900
65,Lejanías,3.53,-74.02,70.23,70,36,3.76,CO,1609391912
66,Nhulunbuy,-12.23,136.77,78.8,94,75,12.75,AU,1609391916
67,Puerto Ayora,-0.74,-90.35,71.98,89,67,6.64,EC,1609391922
68,Hilo,19.73,-155.09,75.2,69,90,2.1,US,1609391650
69,Tigil',57.8,158.67,8.44,92,100,8.14,RU,1609391933
70,Airai,-8.93,125.41,70.95,95,78,1.41,TL,1609391644
71,Nagato,34.38,131.2,42.01,55,75,13.87,JP,1609391941
72,Sitka,57.05,-135.33,37.4,93,75,3.4,US,1609391945
73,Longyearbyen,78.22,15.64,28.4,86,75,5.82,SJ,1609391950
74,Coquimbo,-29.95,-71.34,59.0,87,0,6.93,CL,1609391894
75,Bengkulu,-3.8,102.27,81.45,68,98,3.44,ID,1609391958
76,Bambous Virieux,-20.34,57.76,82.4,65,40,17.22,MU,1609391962
77,Anjiang,27.32,110.1,45.1,52,3,3.42,CN,1609391971
78,Téra,14.01,0.75,66.85,23,0,8.63,NE,1609391975
79,Khani,41.96,42.96,46.4,42,0,9.17,GE,1609391979
80,Lavrentiya,65.58,-171.0,23.04,96,100,6.71,RU,1609391983
81,Kodinsk,58.69,99.18,-19.97,82,97,2.98,RU,1609391987
82,Saint Paul Harbor,57.79,-152.41,28.4,100,1,8.05,US,1609391992
83,Tuktoyaktuk,69.45,-133.04,-11.2,83,90,11.41,CA,1609391653
84,Kem',64.96,34.58,24.42,98,82,10.4,RU,1609392004
85,Poum,-20.23,164.02,81.95,80,93,13.38,NC,1609392008
86,Hobyo,5.35,48.53,78.13,66,24,21.59,SO,1609392017
87,Buala,-8.14,159.59,83.23,74,100,6.35,SB,1609392025
88,Port Elizabeth,-33.92,25.57,66.2,88,75,12.75,ZA,1609392029
89,Vila Franca do Campo,37.72,-25.43,55.4,82,20,8.05,PT,1609392034
90,Bor,56.36,44.07,21.99,92,90,4.47,RU,1609392038
91,Barrow,71.29,-156.79,-18.4,68,20,13.87,US,1609392042
92,Srednekolymsk,67.45,153.68,-33.95,83,100,8.08,RU,1609392046
93,Fortuna,40.6,-124.16,48.99,100,90,10.4,US,1609392050
94,Yumen,40.28,97.2,24.3,77,50,27.42,CN,1609392055
95,Conakry,9.54,-13.68,80.58,80,70,9.01,GN,1609392059
96,Narsaq,60.92,-46.05,44.6,52,100,18.34,GL,1609392063
97,Tasiilaq,65.61,-37.64,17.6,61,100,1.12,GL,1609391642
98,East London,-33.02,27.91,69.8,88,75,8.05,ZA,1609392076
99,Samarai,-10.62,150.67,87.13,68,98,14.12,PG,1609392080
100,Cienfuegos,22.15,-80.44,71.6,88,0,8.05,CU,1609392088
101,Mahébourg,-20.41,57.7,82.4,65,40,17.22,MU,1609392092
102,Baiyin,36.56,104.21,15.8,52,40,2.24,CN,1609391650
103,Port Said,31.26,32.28,59.0,93,0,2.24,EG,1609392105
104,Arraial do Cabo,-22.97,-42.03,75.02,86,90,26.53,BR,1609391725
105,Inuvik,68.35,-133.72,-18.4,75,100,2.13,CA,1609391836
106,Jiwani,25.05,61.74,62.76,29,95,13.96,PK,1609392117
107,Kloulklubed,7.04,134.26,82.4,78,90,17.22,PW,1609392121
108,Riberalta,-10.98,-66.1,72.91,95,70,2.42,BO,1609392126
109,Nurobod,40.91,69.8,26.6,100,90,4.7,UZ,1609392130
110,Hualmay,-11.1,-77.61,69.22,82,100,3.91,PE,1609392134
111,Upernavik,72.79,-56.15,18.91,87,67,9.04,GL,1609391527
112,Kavaratti,10.57,72.64,84.2,74,40,4.7,IN,1609392142
113,Coyhaique,-45.58,-72.07,50.0,81,90,3.36,CL,1609392147
114,Shimoda,34.67,138.95,46.4,39,20,11.41,JP,1609392151
115,Gilgit,35.92,74.31,26.1,53,0,2.44,PK,1609392155
116,Lüderitz,-26.65,15.16,62.6,67,47,12.75,NA,1609392159
117,Jamestown,42.1,-79.24,35.01,98,90,16.46,US,1609392163
118,Adrar,20.5,-10.07,65.77,31,35,9.62,MR,1609392167
119,Dudinka,69.41,86.18,-13.0,51,0,2.24,RU,1609392176
120,Bonavista,48.65,-53.11,23.0,73,52,6.93,CA,1609392180
121,Qaanaaq,77.48,-69.36,12.97,84,100,11.36,GL,1609392184
122,Billings Metropolitan Area,45.78,-108.5,37.0,31,75,12.75,US,1609391841
123,Talcahuano,-36.72,-73.12,62.6,51,0,11.41,CL,1609392197
124,Dikson,73.51,80.55,-21.21,85,0,8.61,RU,1609392201
125,Ulundi,-28.34,31.42,73.9,77,82,4.68,ZA,1609392205
126,Kavieng,-2.57,150.8,82.42,73,96,7.05,PG,1609392210
127,Lagoa,39.05,-27.98,58.8,73,99,15.39,PT,1609392214
128,Iqaluit,63.75,-68.51,-4.0,64,75,2.24,CA,1609392218
129,Hithadhoo,-0.6,73.08,83.03,74,2,8.59,MV,1609392222
130,Vaini,-21.2,-175.2,78.8,83,75,9.17,TO,1609392226
131,Cherskiy,68.75,161.3,-38.99,82,100,4.7,RU,1609392230
132,Kaoma,-14.78,24.8,65.66,94,100,3.96,ZM,1609392239
133,Saskylakh,71.92,114.08,-26.19,84,49,9.78,RU,1609392243
134,Yerbogachën,61.28,108.01,-22.05,86,99,4.27,RU,1609392251
135,Namatanai,-3.67,152.43,82.11,68,100,2.33,PG,1609392256
136,Nantucket,41.28,-70.1,48.2,87,1,13.87,US,1609392260
137,Nome,64.5,-165.41,19.99,85,1,14.99,US,1609392261
138,Thompson,55.74,-97.86,6.8,92,90,2.24,CA,1609392268
139,Nacozari,25.34,-108.26,51.01,89,0,1.01,MX,1609392272
140,Ondjiva,-17.07,15.73,67.14,92,100,7.09,AO,1609392276
141,La Ronge,55.1,-105.28,5.0,92,24,1.12,CA,1609392281
142,Kruisfontein,-34.0,24.73,63.0,90,8,1.01,ZA,1609392289
143,Mananjary,-21.22,48.33,78.57,71,0,4.5,MG,1609392297
144,Makokou,0.57,12.86,70.0,96,100,2.53,GA,1609392303
145,The Valley,18.22,-63.06,77.0,73,20,17.22,AI,1609392307
146,Faanui,-16.48,-151.75,80.82,78,100,15.77,PF,1609392311
147,Yellowknife,62.46,-114.35,-7.6,83,40,9.17,CA,1609392316
148,Kathmandu,27.72,85.32,53.6,58,20,2.24,NP,1609392107
149,Złotoryja,51.13,15.92,30.99,85,49,4.76,PL,1609392324
150,Ahipara,-35.17,173.17,67.98,54,0,7.52,NZ,1609392328
151,Belaya Gora,68.53,146.42,-24.99,87,98,4.36,RU,1609392333
152,Atambua,-9.11,124.89,83.8,65,89,5.35,ID,1609392337
153,Sampit,-2.53,112.95,87.58,66,100,3.83,ID,1609392341
154,Meulaboh,4.14,96.13,82.24,77,82,10.92,ID,1609392345
155,Canguaretama,-6.38,-35.13,77.0,88,40,11.41,BR,1609392349
156,Oxapampa,-10.58,-75.4,59.74,90,100,1.57,PE,1609392353
157,Codrington,-38.27,141.97,62.17,70,18,18.39,AU,1609392358
158,Padang,-0.95,100.35,82.4,74,75,1.12,ID,1609392362
159,Batagay-Alyta,67.8,130.41,-18.15,79,50,4.23,RU,1609392366
160,Flinders,-34.58,150.86,73.0,72,92,4.0,AU,1609392370
161,Altay,47.87,88.12,6.01,82,100,1.97,CN,1609392375
162,San Miguel de Cozumel,20.51,-86.95,71.6,94,75,12.75,MX,1609392379
163,Kupang,-10.17,123.58,89.6,62,40,10.29,ID,1609392383
164,Kristiansund,63.11,7.73,35.6,80,35,9.17,NO,1609392387
165,Menongue,-14.66,17.69,63.46,96,100,6.87,AO,1609392391
166,Tateyama,34.98,139.87,48.2,39,20,11.41,JP,1609392396
167,Kapaa,22.08,-159.32,75.2,78,40,14.99,US,1609392270
168,Batticaloa,7.71,81.69,81.7,79,70,14.9,LK,1609392404
169,Leningradskiy,69.38,178.42,-5.62,90,100,10.22,RU,1609392408
170,South Shields,55.0,-1.43,32.0,92,56,4.7,GB,1609392412
171,Los Llanos de Aridane,28.66,-17.92,60.8,93,90,6.93,ES,1609392416
172,Nyrob,60.73,56.72,-0.98,92,100,4.18,RU,1609392421
173,Ostrovnoy,68.05,39.51,14.02,93,77,11.05,RU,1609392425
174,Sirte,31.21,16.59,59.74,41,0,6.35,LY,1609392429
175,Lokosovo,61.13,74.82,-17.84,88,91,6.46,RU,1609392433
176,San Cristobal,7.77,-72.22,64.6,92,83,1.97,VE,1609392204
177,Tocopilla,-22.09,-70.2,68.63,73,99,0.54,CL,1609392442
178,Kendari,-3.94,122.5,84.65,77,75,8.52,ID,1609392450
179,Tiznit Province,29.58,-9.5,50.05,79,2,0.96,MA,1609392454
180,Taoudenni,22.68,-3.98,64.83,30,3,3.87,ML,1609392458
181,Hanstholm,57.12,8.62,37.99,94,100,13.47,DK,1609392463
182,Hofn,64.25,-15.21,28.78,83,72,8.9,IS,1609392467
183,Maués,-3.38,-57.72,71.49,93,100,0.83,BR,1609392471
184,Nanortalik,60.14,-45.24,35.38,86,100,25.52,GL,1609392475
185,Alice Springs,-23.7,133.88,91.4,14,0,10.29,AU,1609392283
186,Torbay,47.67,-52.73,28.0,73,90,21.92,CA,1609392483
187,Chu,43.6,73.76,15.17,95,0,1.52,KZ,1609392488
188,Okhotsk,59.38,143.3,1.26,83,100,16.02,RU,1609392492
189,Fairbanks,64.84,-147.72,5.0,83,20,1.72,US,1609392375
190,Togur,58.36,82.83,-8.36,90,97,7.07,RU,1609392500
191,Castro,-24.79,-50.01,63.61,92,0,4.29,BR,1609392504
192,Vrangel',42.73,133.08,8.6,77,58,16.75,RU,1609392509
193,Al Bardīyah,31.76,25.09,56.62,76,15,6.82,LY,1609392513
194,Whyalla,-33.03,137.58,82.4,37,0,23.04,AU,1609392517
195,Ekuvukeni,-28.47,30.16,73.98,75,36,3.15,ZA,1609392521
196,Ilulissat,69.22,-51.1,28.4,50,100,34.45,GL,1609392526
197,Turbat,26.0,63.04,60.01,25,81,21.05,PK,1609392530
198,Touros,-5.2,-35.46,77.0,88,75,3.36,BR,1609392534
199,Sibolga,1.74,98.78,82.8,70,100,2.71,ID,1609392454
200,Sawākin,19.11,37.33,77.31,81,59,10.11,SD,1609392543
201,Sainte-Luce,14.47,-60.93,73.99,94,19,4.7,MQ,1609392525
202,Cam Ranh,11.92,109.16,75.2,78,75,24.16,VN,1609392551
203,Oktyabr'skoye,43.06,44.74,24.8,100,90,4.47,RU,1609392555
204,Oodweyne,9.41,45.06,67.51,38,50,1.54,SO,1609392563
205,Vardø,70.37,31.11,24.8,79,75,8.05,NO,1609392568
206,Shāhpur,16.7,76.83,77.27,57,48,12.19,IN,1609392482
207,Drakino,51.14,39.4,29.61,98,100,12.48,RU,1609392576
208,Gondanglegi,-7.75,112.01,86.16,67,98,3.69,ID,1609392580
209,Alekseyevsk,57.84,108.35,-22.14,83,2,2.28,RU,1609392584
210,Pangody,65.85,74.49,-21.23,86,59,6.58,RU,1609392589
211,Zhigansk,66.77,123.37,-12.33,88,65,22.97,RU,1609392593
212,Safi,32.3,-9.24,50.74,64,91,18.19,MA,1609392597
213,Jumla,29.27,82.18,56.39,22,0,3.78,NP,1609392602
214,Beloha,-25.17,45.05,90.23,30,0,10.36,MG,1609392607
215,Almaznyy,48.04,40.05,32.0,99,90,20.13,RU,1609392611
216,Provideniya,64.38,-173.3,22.57,97,100,11.45,RU,1609392615
217,Cairns,-16.92,145.77,84.2,79,75,8.05,AU,1609392388
218,Karratha,-20.74,116.85,96.17,42,10,14.47,AU,1609392623
219,Armidale,-30.52,151.65,68.05,76,32,12.82,AU,1609392632
220,Staryy Nadym,65.61,72.68,-21.8,86,56,6.08,RU,1609392640
221,Nurota,40.56,65.69,21.2,92,90,4.7,UZ,1609392644
222,Marabá,-5.37,-49.12,71.56,96,70,1.07,BR,1609392584
223,Ribeira Grande,38.52,-28.7,59.49,77,84,19.06,PT,1609392653
224,Sisimiut,66.94,-53.67,24.53,89,100,6.02,GL,1609392661
225,Hasaki,35.73,140.83,45.0,22,20,11.41,JP,1609392665
226,George Town,5.41,100.34,89.6,62,20,5.82,MY,1609392380
227,Beidao,34.57,105.89,19.0,68,100,3.0,CN,1609392678
228,Lebu,-37.62,-73.65,53.22,80,0,18.21,CL,1609392686
229,Apatity,67.56,33.4,21.99,93,84,10.11,RU,1609392690
230,San Patricio,28.02,-97.52,70.0,100,90,18.34,US,1609392695
231,Atar,20.52,-13.05,67.26,29,92,6.55,MR,1609392699
232,Jining,35.41,116.58,33.67,51,0,5.37,CN,1609392703
233,Arrondissement de Bergerac,44.83,0.5,46.4,87,100,10.29,FR,1609392707
234,Bandarbeyla,9.49,50.81,75.56,69,57,19.06,SO,1609392711
235,Eydhafushi,5.1,73.07,82.72,79,58,16.2,MV,1609392716
236,Cayenne,4.93,-52.33,75.2,100,90,2.24,GF,1609392720
237,Yining,29.04,114.56,42.17,49,1,3.11,CN,1609392724
238,Faya,18.39,42.45,59.0,82,20,5.82,SA,1609392728
239,Kushmurun,52.45,64.63,1.11,93,100,5.12,KZ,1609392732
240,Cabra,37.47,-4.44,33.01,85,0,1.34,ES,1609392737
241,Saint George,37.1,-113.58,37.4,32,1,2.28,US,1609392652
242,Tautira,-17.73,-149.15,82.4,65,75,5.82,PF,1609392745
243,Port Shepstone,-30.74,30.45,76.19,78,74,12.53,ZA,1609392749
244,Gwadar,25.12,62.33,65.07,26,88,13.85,PK,1609392646
245,Mareeba,-17.0,145.43,84.2,79,75,8.05,AU,1609392757
246,Cidreira,-30.18,-50.21,76.5,74,63,13.29,BR,1609392762
247,Baunatal,51.25,9.41,35.6,97,100,9.17,DE,1609392766
248,Pangkalanbuun,-2.68,111.62,83.23,82,100,5.59,ID,1609392770
249,Tiksi,71.69,128.87,-19.75,87,28,7.31,RU,1609392774
250,Verāval,20.9,70.37,75.13,39,9,10.22,IN,1609392778
251,Oranjemund,-28.55,16.43,63.64,71,4,15.68,NA,1609392782
252,Worthington,40.09,-83.02,33.01,94,90,5.82,US,1609392787
253,Niquero,20.04,-77.58,71.35,77,24,8.23,CU,1609392791
254,Raja,8.46,25.68,72.86,26,43,4.9,SS,1609392795
255,Pochutla,15.74,-96.47,73.0,80,0,1.99,MX,1609392799
256,Envira,-7.3,-70.22,71.47,95,81,1.54,BR,1609392804
257,Lata,40.16,-8.33,46.99,100,75,3.36,PT,1609392808
258,Dalbandin,28.89,64.41,46.99,39,0,7.78,PK,1609392812
259,Manzhouli,49.6,117.43,-7.01,80,0,10.74,CN,1609392816
260,Marawi,8.0,124.29,82.99,86,89,5.01,PH,1609392820
261,Honningsvåg,70.98,25.97,30.2,74,40,16.11,NO,1609392824
262,Boyolangu,-8.12,111.89,86.58,62,95,5.66,ID,1609392829
263,Porto-Novo,6.5,2.6,78.8,94,20,3.36,BJ,1609392833
264,Sept-Îles,50.2,-66.38,14.0,85,100,9.17,CA,1609392837
265,Dingle,11.0,122.67,82.47,81,24,15.73,PH,1609392841
266,Saint-Michel-des-Saints,46.68,-73.92,30.99,8,100,1.01,CA,1609392845
267,Alaşehir,38.35,28.52,49.84,70,29,3.2,TR,1609392850
268,Inyonga,-6.72,32.07,71.24,87,94,1.7,TZ,1609392854
269,Vuktyl,63.86,57.31,-17.28,84,0,3.56,RU,1609392858
270,Kungurtug,50.6,97.52,-3.3,80,100,1.28,RU,1609392862
271,Aykhal,66.0,111.5,-13.0,75,75,6.71,RU,1609392866
272,Moose Factory,51.26,-80.61,15.8,85,90,12.75,CA,1609392871
273,Lake City,30.19,-82.64,66.2,93,75,5.68,US,1609392875
274,Kaeo,-35.1,173.78,71.01,57,4,8.01,NZ,1609392879
275,Maragogi,-9.01,-35.22,75.81,86,3,5.77,BR,1609392887
276,Hambantota,6.12,81.12,86.0,79,40,9.17,LK,1609392892
277,Imeni Poliny Osipenko,52.42,136.49,-20.2,85,13,1.61,RU,1609392904
278,Nikolskoye,59.7,30.79,33.8,97,75,8.95,RU,1609392908
